Country,Year,Series,Value
Israel,2005,Life expectancy at birth for females (years),81.58
Israel,2010,Population annual rate of increase (percent),2.358
Israel,2010,Total fertility rate (children per women),2.927
Israel,2010,"Infant mortality for both sexes (per 1,000 live births)",3.971
Israel,2010,"Maternal mortality ratio (deaths per 100,000 population)",5.7356
Israel,2010,Life expectancy at birth for both sexes (years),80.937
Israel,2010,Life expectancy at birth for males (years),78.96
Israel,2010,Life expectancy at birth for females (years),82.77
Israel,2015,Population annual rate of increase (percent),1.651
Israel,2015,Total fertility rate (children per women),3.044
Israel,2015,"Infant mortality for both sexes (per 1,000 live births)",3.428
Israel,2015,"Maternal mortality ratio (deaths per 100,000 population)",5.2415
Israel,2015,Life expectancy at birth for both sexes (years),81.906
Israel,2015,Life expectancy at birth for males (years),80.02
Israel,2015,Life expectancy at birth for females (years),83.66
Italy,2005,Population annual rate of increase (percent),0.553
Italy,2005,Total fertility rate (children per women),1.312
Italy,2005,"Infant mortality for both sexes (per 1,000 live births)",4.135
Italy,2005,"Maternal mortality ratio (deaths per 100,000 population)",4.3701
Italy,2005,Life expectancy at birth for both sexes (years),80.293
Italy,2005,Life expectancy at birth for males (years),77.31
Italy,2005,Life expectancy at birth for females (years),83.09
Italy,2010,Population annual rate of increase (percent),0.355
Italy,2010,Total fertility rate (children per women),1.436
Italy,2010,"Infant mortality for both sexes (per 1,000 live births)",3.429
Italy,2010,"Maternal mortality ratio (deaths per 100,000 population)",3.9758
Italy,2010,Life expectancy at birth for both sexes (years),81.511
Italy,2010,Life expectancy at birth for males (years),78.78
Italy,2010,Life expectancy at birth for females (years),84.06
Italy,2015,Population annual rate of increase (percent),0.418
Italy,2015,Total fertility rate (children per women),1.421
Italy,2015,"Infant mortality for both sexes (per 1,000 live births)",3.038
Italy,2015,"Maternal mortality ratio (deaths per 100,000 population)",3.6886
Italy,2015,Life expectancy at birth for both sexes (years),82.356
Italy,2015,Life expectancy at birth for males (years),79.87
Italy,2015,Life expectancy at birth for females (years),84.66
Jamaica,2005,Population annual rate of increase (percent),0.633
Jamaica,2005,Total fertility rate (children per women),2.45
Jamaica,2005,"Infant mortality for both sexes (per 1,000 live births)",18.03
Jamaica,2005,"Maternal mortality ratio (deaths per 100,000 population)",92.0582
Jamaica,2005,Life expectancy at birth for both sexes (years),74.12
Jamaica,2005,Life expectancy at birth for males (years),72.89
Jamaica,2005,Life expectancy at birth for females (years),75.38
Jamaica,2010,Population annual rate of increase (percent),0.508
Jamaica,2010,Total fertility rate (children per women),2.28
Jamaica,2010,"Infant mortality for both sexes (per 1,000 live births)",16.702
Jamaica,2010,"Maternal mortality ratio (deaths per 100,000 population)",92.674
Jamaica,2010,Life expectancy at birth for both sexes (years),74.152
Jamaica,2010,Life expectancy at birth for males (years),72.75
Jamaica,2010,Life expectancy at birth for females (years),75.58
Jamaica,2015,Population annual rate of increase (percent),0.565
Jamaica,2015,Total fertility rate (children per women),2.08
Jamaica,2015,"Infant mortality for both sexes (per 1,000 live births)",14.938
Jamaica,2015,"Maternal mortality ratio (deaths per 100,000 population)",88.5669
Jamaica,2015,Life expectancy at birth for both sexes (years),73.975
Jamaica,2015,Life expectancy at birth for males (years),72.48
Jamaica,2015,Life expectancy at birth for females (years),75.54
Japan,2005,Population annual rate of increase (percent),0.125
Japan,2005,Total fertility rate (children per women),1.298
Japan,2005,"Infant mortality for both sexes (per 1,000 live births)",2.979
Japan,2005,"Maternal mortality ratio (deaths per 100,000 population)",7.264
Japan,2005,Life expectancy at birth for both sexes (years),81.796
Japan,2005,Life expectancy at birth for males (years),78.26
Japan,2005,Life expectancy at birth for females (years),85.16
Japan,2010,Population annual rate of increase (percent),0.034
Japan,2010,Total fertility rate (children per women),1.3388
Japan,2010,"Infant mortality for both sexes (per 1,000 live births)",2.553
Japan,2010,"Maternal mortality ratio (deaths per 100,000 population)",5.6238
Japan,2010,Life expectancy at birth for both sexes (years),82.653
Japan,2010,Life expectancy at birth for males (years),79.17
Japan,2010,Life expectancy at birth for females (years),85.98
Japan,2015,Population annual rate of increase (percent),-0.087
Japan,2015,Total fertility rate (children per women),1.4087
Japan,2015,"Infant mortality for both sexes (per 1,000 live births)",2.183
Japan,2015,"Maternal mortality ratio (deaths per 100,000 population)",5.4294
Japan,2015,Life expectancy at birth for both sexes (years),83.321
Japan,2015,Life expectancy at birth for males (years),80.05
Japan,2015,Life expectancy at birth for females (years),86.47
Jordan,2005,Population annual rate of increase (percent),2.365
Jordan,2005,Total fertility rate (children per women),4
Jordan,2005,"Infant mortality for both sexes (per 1,000 live births)",22.389
Jordan,2005,"Maternal mortality ratio (deaths per 100,000 population)",62.3517
Jordan,2005,Life expectancy at birth for both sexes (years),72.175
Jordan,2005,Life expectancy at birth for males (years),70.77
Jordan,2005,Life expectancy at birth for females (years),73.75
Jordan,2010,Population annual rate of increase (percent),4.614
Jordan,2010,Total fertility rate (children per women),3.8
Jordan,2010,"Infant mortality for both sexes (per 1,000 live births)",19.68
Jordan,2010,"Maternal mortality ratio (deaths per 100,000 population)",58.5721
Jordan,2010,Life expectancy at birth for both sexes (years),73
Jordan,2010,Life expectancy at birth for males (years),71.52
Jordan,2010,Life expectancy at birth for females (years),74.63
Jordan,2015,Population annual rate of increase (percent),4.876
Jordan,2015,Total fertility rate (children per women),3.4
Jordan,2015,"Infant mortality for both sexes (per 1,000 live births)",17.059
Jordan,2015,"Maternal mortality ratio (deaths per 100,000 population)",57.7011
Jordan,2015,Life expectancy at birth for both sexes (years),73.809
Jordan,2015,Life expectancy at birth for males (years),72.21
Jordan,2015,Life expectancy at birth for females (years),75.52
Kazakhstan,2005,Population annual rate of increase (percent),0.633
Kazakhstan,2005,Total fertility rate (children per women),2.006
Kazakhstan,2005,"Infant mortality for both sexes (per 1,000 live births)",32.007
Kazakhstan,2005,"Maternal mortality ratio (deaths per 100,000 population)",43.5504
Kazakhstan,2005,Life expectancy at birth for both sexes (years),64.589
Kazakhstan,2005,Life expectancy at birth for males (years),59.07
Kazakhstan,2005,Life expectancy at birth for females (years),70.42
Kazakhstan,2010,Population annual rate of increase (percent),1.074
Kazakhstan,2010,Total fertility rate (children per women),2.5406
Kazakhstan,2010,"Infant mortality for both sexes (per 1,000 live births)",23.856
Kazakhstan,2010,"Maternal mortality ratio (deaths per 100,000 population)",20.3527
Kazakhstan,2010,Life expectancy at birth for both sexes (years),66.076
Kazakhstan,2010,Life expectancy at birth for males (years),60.55
Kazakhstan,2010,Life expectancy at birth for females (years),71.9
Kazakhstan,2015,Population annual rate of increase (percent),1.561
Kazakhstan,2015,Total fertility rate (children per women),2.6733
Kazakhstan,2015,"Infant mortality for both sexes (per 1,000 live births)",14.122
Kazakhstan,2015,"Maternal mortality ratio (deaths per 100,000 population)",11.9523
Kazakhstan,2015,Life expectancy at birth for both sexes (years),69.067
Kazakhstan,2015,Life expectancy at birth for males (years),64.29
Kazakhstan,2015,Life expectancy at birth for females (years),73.87
Kenya,2005,Population annual rate of increase (percent),2.722
Kenya,2005,Total fertility rate (children per women),5
Kenya,2005,"Infant mortality for both sexes (per 1,000 live births)",62.758
Kenya,2005,"Maternal mortality ratio (deaths per 100,000 population)",727.7133
Kenya,2005,Life expectancy at birth for both sexes (years),51.687
Kenya,2005,Life expectancy at birth for males (years),49.58
Kenya,2005,Life expectancy at birth for females (years),53.89
Kenya,2010,Population annual rate of increase (percent),2.753
Kenya,2010,Total fertility rate (children per women),4.65
Kenya,2010,"Infant mortality for both sexes (per 1,000 live births)",51.115
Kenya,2010,"Maternal mortality ratio (deaths per 100,000 population)",605.3097
Kenya,2010,Life expectancy at birth for both sexes (years),58.487
Kenya,2010,Life expectancy at birth for males (years),56.66
Kenya,2010,Life expectancy at birth for females (years),60.28
Kenya,2015,Population annual rate of increase (percent),2.605
Kenya,2015,Total fertility rate (children per women),4.06
Kenya,2015,"Infant mortality for both sexes (per 1,000 live births)",41.556
Kenya,2015,"Maternal mortality ratio (deaths per 100,000 population)",509.5178
Kenya,2015,Life expectancy at birth for both sexes (years),62.919
Kenya,2015,Life expectancy at birth for males (years),60.64
Kenya,2015,Life expectancy at birth for females (years),65.17
Kiribati,2005,Population annual rate of increase (percent),1.794
Kiribati,2005,Total fertility rate (children per women),3.96
Kiribati,2005,"Infant mortality for both sexes (per 1,000 live births)",52.289
Kiribati,2005,"Maternal mortality ratio (deaths per 100,000 population)",134.7851
Kiribati,2005,Life expectancy at birth for both sexes (years),63.903
Kiribati,2005,Life expectancy at birth for males (years),60.94
Kiribati,2005,Life expectancy at birth for females (years),66.84
Kiribati,2010,Population annual rate of increase (percent),2.174
Kiribati,2010,Total fertility rate (children per women),3.88
Kiribati,2010,"Infant mortality for both sexes (per 1,000 live births)",51.436
Kiribati,2010,"Maternal mortality ratio (deaths per 100,000 population)",108.9098
Kiribati,2010,Life expectancy at birth for both sexes (years),65.038
Kiribati,2010,Life expectancy at birth for males (years),61.51
Kiribati,2010,Life expectancy at birth for females (years),68.59
Kiribati,2015,Population annual rate of increase (percent),1.497
Kiribati,2015,Total fertility rate (children per women),3.7875
Kiribati,2015,"Infant mortality for both sexes (per 1,000 live births)",47.925
Kiribati,2015,"Maternal mortality ratio (deaths per 100,000 population)",89.7881
Kiribati,2015,Life expectancy at birth for both sexes (years),66.543
Kiribati,2015,Life expectancy at birth for males (years),62.5
Kiribati,2015,Life expectancy at birth for females (years),70.65
Kuwait,2005,Population annual rate of increase (percent),2.088
Kuwait,2005,Total fertility rate (children per women),2.6
Kuwait,2005,"Infant mortality for both sexes (per 1,000 live births)",10.412
Kuwait,2005,"Maternal mortality ratio (deaths per 100,000 population)",5.778
Kuwait,2005,Life expectancy at birth for both sexes (years),73.324
Kuwait,2005,Life expectancy at birth for males (years),72.57
Kuwait,2005,Life expectancy at birth for females (years),74.49
Kuwait,2010,Population annual rate of increase (percent),5.521
Kuwait,2010,Total fertility rate (children per women),2.4
Kuwait,2010,"Infant mortality for both sexes (per 1,000 live births)",9.735
Kuwait,2010,"Maternal mortality ratio (deaths per 100,000 population)",4.6998
Kuwait,2010,Life expectancy at birth for both sexes (years),73.848
Kuwait,2010,Life expectancy at birth for males (years),73.14
Kuwait,2010,Life expectancy at birth for females (years),74.92
Kuwait,2015,Population annual rate of increase (percent),4.968
Kuwait,2015,Total fertility rate (children per women),2.1
Kuwait,2015,"Infant mortality for both sexes (per 1,000 live births)",8.161
Kuwait,2015,"Maternal mortality ratio (deaths per 100,000 population)",4.1179
Kuwait,2015,Life expectancy at birth for both sexes (years),74.86
Kuwait,2015,Life expectancy at birth for males (years),74.11
Kuwait,2015,Life expectancy at birth for females (years),75.92
Kyrgyzstan,2005,Population annual rate of increase (percent),0.619
Kyrgyzstan,2005,Total fertility rate (children per women),2.5
Kyrgyzstan,2005,"Infant mortality for both sexes (per 1,000 live births)",37.81
Kyrgyzstan,2005,"Maternal mortality ratio (deaths per 100,000 population)",85.336
Kyrgyzstan,2005,Life expectancy at birth for both sexes (years),66.896
Kyrgyzstan,2005,Life expectancy at birth for males (years),62.98
Kyrgyzstan,2005,Life expectancy at birth for females (years),70.95
Kyrgyzstan,2010,Population annual rate of increase (percent),1.322
Kyrgyzstan,2010,Total fertility rate (children per women),2.78
Kyrgyzstan,2010,"Infant mortality for both sexes (per 1,000 live births)",30.233
Kyrgyzstan,2010,"Maternal mortality ratio (deaths per 100,000 population)",83.9955
Kyrgyzstan,2010,Life expectancy at birth for both sexes (years),67.474
Kyrgyzstan,2010,Life expectancy at birth for males (years),63.5
Kyrgyzstan,2010,Life expectancy at birth for females (years),71.72
Kyrgyzstan,2015,Population annual rate of increase (percent),1.888
Kyrgyzstan,2015,Total fertility rate (children per women),3.3
Kyrgyzstan,2015,"Infant mortality for both sexes (per 1,000 live births)",19.543
Kyrgyzstan,2015,"Maternal mortality ratio (deaths per 100,000 population)",75.5075
Kyrgyzstan,2015,Life expectancy at birth for both sexes (years),70.272
Kyrgyzstan,2015,Life expectancy at birth for males (years),66.35
Kyrgyzstan,2015,Life expectancy at birth for females (years),74.29
Lao People's Dem. Rep.,2005,Population annual rate of increase (percent),1.546
Lao People's Dem. Rep.,2005,Total fertility rate (children per women),3.9
Lao People's Dem. Rep.,2005,"Infant mortality for both sexes (per 1,000 live births)",69.954
Lao People's Dem. Rep.,2005,"Maternal mortality ratio (deaths per 100,000 population)",418.0008
Lao People's Dem. Rep.,2005,Life expectancy at birth for both sexes (years),60.203
Lao People's Dem. Rep.,2005,Life expectancy at birth for males (years),58.37
Lao People's Dem. Rep.,2005,Life expectancy at birth for females (years),62.04
Lao People's Dem. Rep.,2010,Population annual rate of increase (percent),1.659
Lao People's Dem. Rep.,2010,Total fertility rate (children per women),3.4
Lao People's Dem. Rep.,2010,"Infant mortality for both sexes (per 1,000 live births)",57.527
Lao People's Dem. Rep.,2010,"Maternal mortality ratio (deaths per 100,000 population)",293.8563
Lao People's Dem. Rep.,2010,Life expectancy at birth for both sexes (years),62.993
Lao People's Dem. Rep.,2010,Life expectancy at birth for males (years),61.16
Lao People's Dem. Rep.,2010,Life expectancy at birth for females (years),64.82
Lao People's Dem. Rep.,2015,Population annual rate of increase (percent),1.516
Lao People's Dem. Rep.,2015,Total fertility rate (children per women),2.93
Lao People's Dem. Rep.,2015,"Infant mortality for both sexes (per 1,000 live births)",46.967
Lao People's Dem. Rep.,2015,"Maternal mortality ratio (deaths per 100,000 population)",197.3987
Lao People's Dem. Rep.,2015,Life expectancy at birth for both sexes (years),65.488
Lao People's Dem. Rep.,2015,Life expectancy at birth for males (years),63.67
Lao People's Dem. Rep.,2015,Life expectancy at birth for females (years),67.28
Latvia,2005,Population annual rate of increase (percent),-1.141
Latvia,2005,Total fertility rate (children per women),1.2856
Latvia,2005,"Infant mortality for both sexes (per 1,000 live births)",9.936
Latvia,2005,"Maternal mortality ratio (deaths per 100,000 population)",21.7959
Latvia,2005,Life expectancy at birth for both sexes (years),70.753
Latvia,2005,Life expectancy at birth for males (years),65.16
Latvia,2005,Life expectancy at birth for females (years),76.16
Latvia,2010,Population annual rate of increase (percent),-1.219
Latvia,2010,Total fertility rate (children per women),1.4926
Latvia,2010,"Infant mortality for both sexes (per 1,000 live births)",7.799
Latvia,2010,"Maternal mortality ratio (deaths per 100,000 population)",18.9006
Latvia,2010,Life expectancy at birth for both sexes (years),71.552
Latvia,2010,Life expectancy at birth for males (years),65.96
Latvia,2010,Life expectancy at birth for females (years),76.98
Latvia,2015,Population annual rate of increase (percent),-1.178
Latvia,2015,Total fertility rate (children per women),1.4972
Latvia,2015,"Infant mortality for both sexes (per 1,000 live births)",5.15
Latvia,2015,"Maternal mortality ratio (deaths per 100,000 population)",18.2875
Latvia,2015,Life expectancy at birth for both sexes (years),74.133
Latvia,2015,Life expectancy at birth for males (years),69.01
Latvia,2015,Life expectancy at birth for females (years),78.84
Lebanon,2005,Population annual rate of increase (percent),4.022
Lebanon,2005,Total fertility rate (children per women),2.2
Lebanon,2005,"Infant mortality for both sexes (per 1,000 live births)",13.804
Lebanon,2005,"Maternal mortality ratio (deaths per 100,000 population)",27.1366
Lebanon,2005,Life expectancy at birth for both sexes (years),75.705
Lebanon,2005,Life expectancy at birth for males (years),73.91
Lebanon,2005,Life expectancy at birth for females (years),77.44
Lebanon,2010,Population annual rate of increase (percent),1.054
Lebanon,2010,Total fertility rate (children per women),1.9
Lebanon,2010,"Infant mortality for both sexes (per 1,000 live births)",10.594
Lebanon,2010,"Maternal mortality ratio (deaths per 100,000 population)",19.2038
Lebanon,2010,Life expectancy at birth for both sexes (years),77.784
Lebanon,2010,Life expectancy at birth for males (years),76.04
Lebanon,2010,Life expectancy at birth for females (years),79.73
Lebanon,2015,Population annual rate of increase (percent),5.536
Lebanon,2015,Total fertility rate (children per women),2.08
Lebanon,2015,"Infant mortality for both sexes (per 1,000 live births)",9.6
Lebanon,2015,"Maternal mortality ratio (deaths per 100,000 population)",14.9252
Lebanon,2015,Life expectancy at birth for both sexes (years),78.644
Lebanon,2015,Life expectancy at birth for males (years),76.86
Lebanon,2015,Life expectancy at birth for females (years),80.61
Lesotho,2005,Population annual rate of increase (percent),-0.364
Lesotho,2005,Total fertility rate (children per women),3.6602
Lesotho,2005,"Infant mortality for both sexes (per 1,000 live births)",78.957
Lesotho,2005,"Maternal mortality ratio (deaths per 100,000 population)",746.2709
Lesotho,2005,Life expectancy at birth for both sexes (years),44.218
Lesotho,2005,Life expectancy at birth for males (years),42.14
Lesotho,2005,Life expectancy at birth for females (years),46.63
Lesotho,2010,Population annual rate of increase (percent),-0.005
Lesotho,2010,Total fertility rate (children per women),3.373
Lesotho,2010,"Infant mortality for both sexes (per 1,000 live births)",74.942
Lesotho,2010,"Maternal mortality ratio (deaths per 100,000 population)",586.5114
Lesotho,2010,Life expectancy at birth for both sexes (years),43.068
Lesotho,2010,Life expectancy at birth for males (years),40.64
Lesotho,2010,Life expectancy at birth for females (years),45.83
Lesotho,2015,Population annual rate of increase (percent),0.626
Lesotho,2015,Total fertility rate (children per women),3.26
Lesotho,2015,"Infant mortality for both sexes (per 1,000 live births)",65.374
Lesotho,2015,"Maternal mortality ratio (deaths per 100,000 population)",487.1718
Lesotho,2015,Life expectancy at birth for both sexes (years),48.153
Lesotho,2015,Life expectancy at birth for males (years),45.22
Lesotho,2015,Life expectancy at birth for females (years),51.31
Liberia,2005,Population annual rate of increase (percent),2.44
Liberia,2005,Total fertility rate (children per women),5.65
Liberia,2005,"Infant mortality for both sexes (per 1,000 live births)",100.283
Liberia,2005,"Maternal mortality ratio (deaths per 100,000 population)",1020.3224
Liberia,2005,Life expectancy at birth for both sexes (years),52.774
Liberia,2005,Life expectancy at birth for males (years),51.7
Liberia,2005,Life expectancy at birth for females (years),53.85
Liberia,2010,Population annual rate of increase (percent),3.799
Liberia,2010,Total fertility rate (children per women),5.2
Liberia,2010,"Infant mortality for both sexes (per 1,000 live births)",72.884
Liberia,2010,"Maternal mortality ratio (deaths per 100,000 population)",811.2171
Liberia,2010,Life expectancy at birth for both sexes (years),58.1
Liberia,2010,Life expectancy at birth for males (years),56.44
Liberia,2010,Life expectancy at birth for females (years),59.8
Liberia,2015,Population annual rate of increase (percent),2.783
Liberia,2015,Total fertility rate (children per women),4.75
Liberia,2015,"Infant mortality for both sexes (per 1,000 live births)",60.127
Liberia,2015,"Maternal mortality ratio (deaths per 100,000 population)",724.5062
Liberia,2015,Life expectancy at birth for both sexes (years),60.734
Liberia,2015,Life expectancy at birth for males (years),59.25
Liberia,2015,Life expectancy at birth for females (years),62.24
Libya,2005,Population annual rate of increase (percent),1.581
Libya,2005,Total fertility rate (children per women),2.64
Libya,2005,"Infant mortality for both sexes (per 1,000 live births)",21.462
Libya,2005,"Maternal mortality ratio (deaths per 100,000 population)",10.9281
Libya,2005,Life expectancy at birth for both sexes (years),71.259
Libya,2005,Life expectancy at birth for males (years),69.55
Libya,2005,Life expectancy at birth for females (years),73.25
Libya,2010,Population annual rate of increase (percent),1.331
Libya,2010,Total fertility rate (children per women),2.5
Libya,2010,"Infant mortality for both sexes (per 1,000 live births)",17.581
Libya,2010,"Maternal mortality ratio (deaths per 100,000 population)",8.5548
Libya,2010,Life expectancy at birth for both sexes (years),72.335
Libya,2010,Life expectancy at birth for males (years),70.14
Libya,2010,Life expectancy at birth for females (years),74.86
Libya,2015,Population annual rate of increase (percent),0.7
Libya,2015,Total fertility rate (children per women),2.45
Libya,2015,"Infant mortality for both sexes (per 1,000 live births)",12.959
Libya,2015,"Maternal mortality ratio (deaths per 100,000 population)",9.3314
Libya,2015,Life expectancy at birth for both sexes (years),71.736
Libya,2015,Life expectancy at birth for males (years),68.87
Libya,2015,Life expectancy at birth for females (years),74.93
Liechtenstein,2005,Population annual rate of increase (percent),0.922
Liechtenstein,2005,Total fertility rate (children per women),1.51
Liechtenstein,2010,Population annual rate of increase (percent),0.652
Liechtenstein,2010,Total fertility rate (children per women),1.402
Liechtenstein,2012,Total fertility rate (children per women),1.507
Liechtenstein,2015,Population annual rate of increase (percent),0.761
Lithuania,2005,Population annual rate of increase (percent),-0.921
Lithuania,2005,Total fertility rate (children per women),1.2782
Lithuania,2005,"Infant mortality for both sexes (per 1,000 live births)",7.663
Lithuania,2005,"Maternal mortality ratio (deaths per 100,000 population)",12.4169
Lithuania,2005,Life expectancy at birth for both sexes (years),71.639
Lithuania,2005,Life expectancy at birth for males (years),65.74
Lithuania,2005,Life expectancy at birth for females (years),77.54
Lithuania,2010,Population annual rate of increase (percent),-1.364
Lithuania,2010,Total fertility rate (children per women),1.4174
Lithuania,2010,"Infant mortality for both sexes (per 1,000 live births)",5.967
Lithuania,2010,"Maternal mortality ratio (deaths per 100,000 population)",9.3516
Lithuania,2010,Life expectancy at birth for both sexes (years),71.865
Lithuania,2010,Life expectancy at birth for males (years),65.98
Lithuania,2010,Life expectancy at birth for females (years),77.8
Lithuania,2015,Population annual rate of increase (percent),-1.268
Lithuania,2015,Total fertility rate (children per women),1.594
Lithuania,2015,"Infant mortality for both sexes (per 1,000 live births)",4.364
Lithuania,2015,"Maternal mortality ratio (deaths per 100,000 population)",9.9091
Lithuania,2015,Life expectancy at birth for both sexes (years),73.994
Lithuania,2015,Life expectancy at birth for males (years),68.47
Lithuania,2015,Life expectancy at birth for females (years),79.33
Luxembourg,2005,Population annual rate of increase (percent),0.973
Luxembourg,2005,Total fertility rate (children per women),1.654
Luxembourg,2005,"Infant mortality for both sexes (per 1,000 live births)",4.959
Luxembourg,2005,"Maternal mortality ratio (deaths per 100,000 population)",12.7585
Luxembourg,2005,Life expectancy at birth for both sexes (years),78.315
Luxembourg,2005,Life expectancy at birth for males (years),75.13
Luxembourg,2005,Life expectancy at birth for females (years),81.37
Luxembourg,2010,Population annual rate of increase (percent),2.075
Luxembourg,2010,Total fertility rate (children per women),1.6206
Luxembourg,2010,"Infant mortality for both sexes (per 1,000 live births)",2.329
Luxembourg,2010,"Maternal mortality ratio (deaths per 100,000 population)",11.3882
Luxembourg,2010,Life expectancy at birth for both sexes (years),79.505
Luxembourg,2010,Life expectancy at birth for males (years),76.73
Luxembourg,2010,Life expectancy at birth for females (years),82.17
Luxembourg,2015,Population annual rate of increase (percent),2.193
Luxembourg,2015,Total fertility rate (children per women),1.5462
Luxembourg,2015,"Infant mortality for both sexes (per 1,000 live births)",3.414
Luxembourg,2015,"Maternal mortality ratio (deaths per 100,000 population)",9.6978
Luxembourg,2015,Life expectancy at birth for both sexes (years),81.145
Luxembourg,2015,Life expectancy at birth for males (years),78.76
Luxembourg,2015,Life expectancy at birth for females (years),83.45
Madagascar,2005,Population annual rate of increase (percent),3.02
Madagascar,2005,Total fertility rate (children per women),5.278
Madagascar,2005,"Infant mortality for both sexes (per 1,000 live births)",57.973
Madagascar,2005,"Maternal mortality ratio (deaths per 100,000 population)",507.8923
Madagascar,2005,Life expectancy at birth for both sexes (years),60.025
Madagascar,2005,Life expectancy at birth for males (years),58.81
Madagascar,2005,Life expectancy at birth for females (years),61.26
Madagascar,2010,Population annual rate of increase (percent),2.856
Madagascar,2010,Total fertility rate (children per women),4.83
Madagascar,2010,"Infant mortality for both sexes (per 1,000 live births)",45.489
Madagascar,2010,"Maternal mortality ratio (deaths per 100,000 population)",436.3941
Madagascar,2010,Life expectancy at birth for both sexes (years),62.228
Madagascar,2010,Life expectancy at birth for males (years),60.81
Madagascar,2010,Life expectancy at birth for females (years),63.66
Madagascar,2015,Population annual rate of increase (percent),2.721
Madagascar,2015,Total fertility rate (children per women),4.4
Madagascar,2015,"Infant mortality for both sexes (per 1,000 live births)",36.766
Madagascar,2015,"Maternal mortality ratio (deaths per 100,000 population)",352.8615
Madagascar,2015,Life expectancy at birth for both sexes (years),64.505
Madagascar,2015,Life expectancy at birth for males (years),63.02
Madagascar,2015,Life expectancy at birth for females (years),66
Malawi,2005,Population annual rate of increase (percent),2.489
Malawi,2005,Total fertility rate (children per women),6
Malawi,2005,"Infant mortality for both sexes (per 1,000 live births)",86.936
Malawi,2005,"Maternal mortality ratio (deaths per 100,000 population)",647.5148
Malawi,2005,Life expectancy at birth for both sexes (years),45.607
Malawi,2005,Life expectancy at birth for males (years),43.41
Malawi,2005,Life expectancy at birth for females (years),48.04
Malawi,2010,Population annual rate of increase (percent),2.822
Malawi,2010,Total fertility rate (children per women),5.73
Malawi,2010,"Infant mortality for both sexes (per 1,000 live births)",68.427
Malawi,2010,"Maternal mortality ratio (deaths per 100,000 population)",629.2265
Malawi,2010,Life expectancy at birth for both sexes (years),51.314
Malawi,2010,Life expectancy at birth for males (years),48.74
Malawi,2010,Life expectancy at birth for females (years),54.02
Malawi,2015,Population annual rate of increase (percent),2.825
Malawi,2015,Total fertility rate (children per women),4.88
Malawi,2015,"Infant mortality for both sexes (per 1,000 live births)",52.552
Malawi,2015,"Maternal mortality ratio (deaths per 100,000 population)",634.1224
Malawi,2015,Life expectancy at birth for both sexes (years),59.559
Malawi,2015,Life expectancy at birth for males (years),56.64
Malawi,2015,Life expectancy at birth for females (years),62.51
Malaysia,2005,Population annual rate of increase (percent),2.044
Malaysia,2005,Total fertility rate (children per women),2.4545
Malaysia,2005,"Infant mortality for both sexes (per 1,000 live births)",7.622
Malaysia,2005,"Maternal mortality ratio (deaths per 100,000 population)",51.775
Malaysia,2005,Life expectancy at birth for both sexes (years),73.085
Malaysia,2005,Life expectancy at birth for males (years),71.03
Malaysia,2005,Life expectancy at birth for females (years),75.35
Malaysia,2010,Population annual rate of increase (percent),1.87
Malaysia,2010,Total fertility rate (children per women),2.216
Malaysia,2010,"Infant mortality for both sexes (per 1,000 live births)",6.992
Malaysia,2010,"Maternal mortality ratio (deaths per 100,000 population)",48.2481
Malaysia,2010,Life expectancy at birth for both sexes (years),74.026
Malaysia,2010,Life expectancy at birth for males (years),72.01
Malaysia,2010,Life expectancy at birth for females (years),76.27
Malaysia,2015,Population annual rate of increase (percent),1.412
Malaysia,2015,Total fertility rate (children per women),2.1059
Malaysia,2015,"Infant mortality for both sexes (per 1,000 live births)",6.421
Malaysia,2015,"Maternal mortality ratio (deaths per 100,000 population)",39.81
Malaysia,2015,Life expectancy at birth for both sexes (years),74.962
Malaysia,2015,Life expectancy at birth for males (years),72.99
Malaysia,2015,Life expectancy at birth for females (years),77.19
Maldives,2005,Population annual rate of increase (percent),2.689
Maldives,2005,Total fertility rate (children per women),2.4
Maldives,2005,"Infant mortality for both sexes (per 1,000 live births)",26.618
Maldives,2005,"Maternal mortality ratio (deaths per 100,000 population)",101.2191
Maldives,2005,Life expectancy at birth for both sexes (years),72.091
Maldives,2005,Life expectancy at birth for males (years),71.09
Maldives,2005,Life expectancy at birth for females (years),73.33
Maldives,2010,Population annual rate of increase (percent),2.696
Maldives,2010,Total fertility rate (children per women),2.2881
Maldives,2010,"Infant mortality for both sexes (per 1,000 live births)",14.764
Maldives,2010,"Maternal mortality ratio (deaths per 100,000 population)",87.4443
Maldives,2010,Life expectancy at birth for both sexes (years),74.813
Maldives,2010,Life expectancy at birth for males (years),73.73
Maldives,2010,Life expectancy at birth for females (years),76.15
Maldives,2015,Population annual rate of increase (percent),4.364
Maldives,2015,Total fertility rate (children per women),2.1127
Maldives,2015,"Infant mortality for both sexes (per 1,000 live births)",8.95
Maldives,2015,"Maternal mortality ratio (deaths per 100,000 population)",67.682
Maldives,2015,Life expectancy at birth for both sexes (years),76.821
Maldives,2015,Life expectancy at birth for males (years),75.52
Maldives,2015,Life expectancy at birth for females (years),78.45
Mali,2005,Population annual rate of increase (percent),3.09
Mali,2005,Total fertility rate (children per women),6.85
Mali,2005,"Infant mortality for both sexes (per 1,000 live births)",106.529
Mali,2005,"Maternal mortality ratio (deaths per 100,000 population)",714.4386
Mali,2005,Life expectancy at birth for both sexes (years),49.959
